"Id","FullName","Login","Password","Email","ImagePath","IsSuspended","ModuleId","RoleId","DateOfCreation"
7,Орлова Варвара Алексеевна,"7","7","7",/default_profile_icon.svg,false,4,4,2024-07-17
4,Морозов Максим Давидович,"4","4","4",/image/men1.jpg,false,3,4,2024-07-17
5,Гаврилов Даниил Максимович,"5","5","5",/image/men2.jpg,false,3,4,2024-07-17
6,Губанова Елена Михайловна,"6","6","6",/image/woman4.jpg,false,3,4,2024-07-17
9,Сафонова Виктория Рустамовна,"9","9","9",/image/woman5.jpg,false,4,4,2024-07-17
8,Денисов Вячеслав Владимирович,"8","8","8",/image/men4.jpg,false,4,4,2024-07-17
10,Лукин Лука Артёмович,"10","10","10",/image/men5.jpg,false,4,4,2024-07-17
1,Егорова Мия Яковлевна,"1","1","1",/image/woman1.jpg,false,1,2,2024-07-17
2,Потапова Марьям Николаевна,"2","2","2",/image/woman2.jpg,false,2,1,2024-07-17
3,Соловьева Мария Антоновна,"3","3","3",/image/woman3.jpg,false,3,3,2024-07-17
